,spa,fre
755,funsionaliðað,fɔ̃ksjonalite
756,funsionamjento,fɔ̃ksjɔnəmɑ̃
757,funsionaɾ,fɔ̃ksjone
758,funsionaɾjo,fɔ̃ksjonɛʁ
759,fundamentales,fɔ̃damɑ̃to
760,fusiles,fyzi
761,fusjonaðo,fyzjɔne
762,fusjones,fyzjɔ̃
763,fusjon,fyzjɔ̃
764,futuɾos,fytyʁ
765,foɾmula,fɔʁmyl
766,foɾmulas,fɔʁmyl
767,fosil,fosil
768,ɡaleɾjas,ɡaləʁi
769,ɡalope,ɡalo
770,ɡanaɾ,ɡaɲe
771,ɡaɾantisa,ɡaʁɑ̃ti
772,xeneɾalista,ʒeneʁalist
773,xenjos,ʒeni
774,xeometɾikas,ʒeometʁik
775,xeoɾxiano,ʒeɔʁʒjɛ̃
776,xesto,ʒɛst
777,xestoɾ,ʒɛstjonɛʁ
778,xestoɾes,ʒɛstjonɛʁ
779,xestos,ʒɛst
780,xiɣantes,ʒeɑ̃
781,ɡlasiaɾes,ɡlasje
782,ɡloɾja,ɡlwaʁ
783,ɡlukosa,ɡlykoz
784,ɡɾaneɾo,ɡʁənje
785,ɡɾasa,ɡʁɛs
786,ɡɾatwitamente,ɡʁatɥitəmɑ̃
787,ɡɾjal,ɡʁal
788,ɡwantes,ɡɑ̃
789,ɡwaɾðjan,ɡaʁdjɛ̃
790,ɡera,ɡɛʁ
791,ɡeto,ɡɛto
792,ɡiaða,ɡide
793,ɡiaðo,ɡide
794,ɡiaɾ,ɡide
795,ɡiʝotina,ɡijotin
796,abitaðas,abite
797,abitaðo,abite
798,at͡ʃas,aʃ
799,ektaɾea,ɛktaʁ
800,elikopteɾos,elikɔptɛʁ
801,eɾbiboɾos,ɛʁbivɔʁ
802,eɾeðitaɾjas,eʁeditɛʁ
803,ʝndwes,ɛ̃du
804,ʝstoɾjas,istwaʁ
805,ʝstoɾikamente,istoʁikəmɑ̃
806,ʝstoɾikas,istoʁik
807,ombɾes,ɔm
808,omoxenea,omoʒɛn
809,omoloɣo,omolɔɡ
810,onoɾaɾjo,onoʁɛʁ
811,onoɾaɾjos,onoʁɛʁ
812,oɾmonas,ɔʁmɔn
813,ospitalaɾja,ospitalje
814,wmanista,ymanist
815,wmanistas,ymanist
816,abitat,abita
817,eɾoe,eʁo
818,wnɣaɾo,ɔ̃ɡʁwa
819,ibeɾika,ibeʁik
820,iðealmente,idealəmɑ̃
821,iðentiðað,idɑ̃tite
822,iðentiðaðes,idɑ̃tite
823,iðentifikaðo,idɑ̃tifje
824,iðeoloxias,ideoloʒi
825,iɣnoɾaðo,iɲoʁe
826,ileɣalmente,ileɡaləmɑ̃
827,ilustɾa,ilystʁ
828,ilustɾes,ilystʁ
829,impeɾatibo,ɛ̃peʁatif
830,implikasiones,ɛ̃plikasjɔ̃
831,implisita,ɛ̃plisit
832,impopulaɾ,ɛ̃popylɛʁ
833,impoɾtaðas,ɛ̃pɔʁte
834,impoɾtante,ɛ̃pɔʁtɑ̃
835,impɾesa,ɛ̃pʁime
836,inauɣwɾaða,inoɡyʁe
837,insieɾto,ɛ̃sɛʁtɛ̃
838,inkompleto,ɛ̃kɔ̃plɛ
839,inkuɾsjones,ɛ̃kyʁsjɔ̃
840,indefiniðamente,ɛ̃definimɑ̃
841,indikasiones,ɛ̃dikasjɔ̃
842,indikaðoɾ,ɛ̃dikatœʁ
843,indikaðoɾes,ɛ̃dikatœʁ
844,indjos,ɛ̃djɛ̃
845,indiɾektos,ɛ̃diʁɛkt
846,indibiðwalmente,ɛ̃dividɥɛləmɑ̃
847,industɾjales,ɛ̃dystʁijɛl
848,industɾjas,ɛ̃dystʁi
849,indixenas,ɛ̃diʒɛn
850,inefikas,inɛfikas
851,inebitable,inevitabl
852,infeksiones,ɛ̃fɛksjɔ̃
853,infeɾnal,ɛ̃fɛʁnal
854,inflwensia,ɛ̃flyɑ̃s
855,inflwensias,ɛ̃flyɑ̃s
856,influientes,ɛ̃flyɑ̃
857,infoɾmaðos,ɛ̃fɔʁme
858,infoɾmal,ɛ̃fɔʁmɛl
859,infɾaestɾuktuɾas,ɛ̃fʁastʁyktyʁ
860,inxenjeɾos,ɛ̃ʒenjœʁ
861,inɣɾeðjentes,ɛ̃ɡʁedjɑ̃
862,inmeðjatamente,imedjatəmɑ̃
863,inmobiljaɾja,imobiljɛʁ
864,inmoɾtales,imɔʁtɛl
865,inmunitaɾjo,imynitɛʁ
866,innobaðoɾas,inovɑ̃t
867,inosentes,inosɑ̃
868,insektos,ɛ̃sɛkt
869,inspiɾaða,ɛ̃spiʁe
870,instalasiones,ɛ̃stalasjɔ̃
871,instalaðos,ɛ̃stale
872,instansias,ɛ̃stɑ̃s
873,instantaneamente,ɛ̃stɑ̃tanemɑ̃
874,institusional,ɛ̃stitysjonɛl
875,institusionales,ɛ̃stitysjonɛl
876,instɾumento,ɛ̃stʁymɑ̃
877,insulaɾ,ɛ̃sylɛʁ
878,insulaɾes,ɛ̃sylɛʁ
879,intakto,ɛ̃takt
880,inteɣɾante,ɛ̃teɡʁɑ̃t
881,intelixente,ɛ̃tɛliʒɑ̃t
882,intensiones,ɛ̃tɑ̃sjɔ̃
883,inteɾaktiba,ɛ̃tɛʁaktiv
884,inteɾmeðjaɾjos,ɛ̃tɛʁmedjɛʁ
885,inteɾnas,ɛ̃tɛʁn
886,inteɾpɾetaðo,ɛ̃tɛʁpʁete
887,interumpiðo,ɛ̃tɛʁɔ̃py
888,intɾiɣas,ɛ̃tʁiɡ
889,inteɾpɾete,ɛ̃tɛʁpʁɛt
890,inteɾpɾetes,ɛ̃tɛʁpʁɛt
891,inbensiones,ɛ̃vɑ̃sjɔ̃
892,inbension,ɛ̃vɑ̃sjɔ̃
893,inbentaða,ɛ̃vɑ̃te
894,inbentaɾjos,ɛ̃vɑ̃tɛʁ
895,inbentoɾes,ɛ̃vɑ̃tœʁ
896,inbitasion,ɛ̃vitasjɔ̃
897,inbitaðos,ɛ̃vite
898,iɾani,iʁɑ̃njɛ̃
899,iɾlandesa,iʁlɑ̃dɛz
900,iɾlandesas,iʁlɑ̃dɛz
901,islamistas,islamist
902,isotopos,izotɔp
903,italjanas,italjɛn
904,italjano,italjɛ̃
905,xamon,ʒɑ̃bɔ̃
906,xapones,ʒaponɛ
907,xunɣla,ʒɛ̃ɡl
908,xuɾaðos,ʒyʁe
909,xuɾisðiksiones,ʒyʁidiksjɔ̃
910,xuɾispɾuðensia,ʒyʁispʁydɑ̃s
911,xuɾiðikamente,ʒyʁidikəmɑ̃
912,xustifikaɾ,ʒystifje
913,xobenes,ʒœn
914,kilometɾo,kilomɛtʁ
915,laboɾatoɾjos,laboʁatwaʁ
916,laɣwnas,lakyn
917,lansamjento,lɑ̃səmɑ̃
918,lansamjentos,lɑ̃səmɑ̃
919,latin,latɛ̃
920,lauɾeles,loʁje
921,lektoɾes,lɛktœʁ
922,leɣalmente,leɡaləmɑ̃
923,lexiones,leʒjɔ̃
924,lexislasiones,leʒislasjɔ̃
925,lexislaðoɾ,leʒislatœʁ
926,lexislatiba,leʒislativ
927,lexislatibo,leʒislatif
928,lexislatibos,leʒislatif
929,lexitimiðað,leʒitimite
930,lexitimos,leʒitim
931,lenɣwas,lɑ̃ɡ
932,lesbjana,lɛsbjɛn
933,lesbjanas,lɛsbjɛn
934,libaneses,libanɛ
935,libeɾalisasion,libeʁalizasjɔ̃
936,libɾas,livʁ
937,libɾeɾos,libʁɛʁ
938,lisensia,lisɑ̃s
939,liɣas,liɡ
940,limitaðos,limite
941,lineales,lineɛʁ
942,linɣwista,lɛ̃ɡɥist
943,lista,list
944,liteɾalmente,liteʁaləmɑ̃
945,liteɾatuɾa,liteʁatyʁ
946,litwano,litɥanjɛ̃
947,lokalisasion,lokalizasjɔ̃
948,lokalisaðas,lokalize
949,lokalisaðos,lokalize
950,lokalmente,lokaləmɑ̃
951,lokomotoɾa,lokomotiv
952,lokomotoɾas,lokomotiv
953,loxistikas,loʒistik
954,lonxituðes,lɔ̃ɡœʁ
955,limite,limit
956,limites,limit
957,lineas,liɲ
958,likiða,likid
959,likiðos,likid
960,maseðonjo,masedonjɛ̃
961,maðɾe,mɛʁ
962,maðɾes,mɛʁ
963,maðuɾasion,matyʁasjɔ̃
964,maɣnetiko,maɲetik
965,maɣnetikos,maɲetik
966,mandatos,mɑ̃da
967,manifestasiones,manifɛstasjɔ̃
968,manipulaɾ,manipyle
969,manwal,manɥɛl
970,makiʝaxe,makijaʒ
971,maɾaton,maʁatɔ̃
972,maɾsial,maʁsjal
973,maɾino,maʁɛ̃
974,maɾksismo,maʁksism
975,maɾksista,maʁksist
976,maɾitima,maʁitim
977,maɾitimas,maʁitim
978,masakɾe,masakʁ
979,masakɾes,masakʁ
980,maskulina,maskylin
981,masiba,masiv
982,mateɾjalismo,mateʁjalism
983,mateɾniðað,matɛʁnite
984,mausoleo,mozole
985,maioɾitaɾjos,maʒoʁitɛʁ
986,meandɾos,meɑ̃dʁ
987,meðjasion,medjasjɔ̃
988,meðikamento,medikamɑ̃
989,meðikamentos,medikamɑ̃
990,meðjebal,medjeval
991,meðiteranea,meditɛʁaneɛn
992,meðiteraneas,meditɛʁaneɛn
993,meðiteraneos,meditɛʁaneɛ̃
994,membɾana,mɑ̃bʁan
995,menswales,mɑ̃sɥɛl
996,mentaliðað,mɑ̃talite
997,menus,məny
998,metaluɾxia,metalyʁʒi
999,metamoɾfosis,metamɔʁfoz
1000,metɾos,mɛtʁ
1001,metɾopoli,metʁopɔl
1002,metɾopolis,metʁopɔl
1003,mjembɾos,mɑ̃bʁ
1004,miɣɾatoɾja,miɡʁatwaʁ
1005,miɣɾatoɾjos,miɡʁatwaʁ
1006,milisia,milis
1007,militansia,militɑ̃tism
1008,militante,militɑ̃
1009,militaɾes,militɛʁ
1010,miʝonaɾjo,miljonɛʁ
1011,miʝones,miljɔ̃
1012,miʝon,miljɔ̃
1013,minas,min
1014,minimalista,minimalist
1015,ministeɾjos,ministɛʁ
1016,ministɾos,ministʁ
1017,minoɾitaɾja,minoʁitɛʁ
1018,minoɾitaɾjas,minoʁitɛʁ
1019,minoɾja,minoʁite
1020,minuto,minyt
1021,minuskulas,minyskyl
1022,miseɾables,mizeʁabl
1023,misil,misil
1024,misjoneɾos,misjonɛʁ
1025,miksta,mikst
1026,mikstas,mikst
1027,mobiljaɾjo,mobilje
1028,moðaliðaðes,modalite
1029,moðelos,modɛl
1030,moðeɾna,modɛʁn
1031,moðeɾniðað,modɛʁnite
1032,moðeɾnisaɾ,modɛʁnize
1033,moðesta,modɛst
1034,moðifikasiones,modifikasjɔ̃
1035,moðifikasion,modifikasjɔ̃
1036,moðifikaða,modifje
1037,moðifikaðas,modifje
1038,molekulaɾes,molekylɛʁ
1039,molekula,molekyl
1040,molekulas,molekyl
1041,monetaɾja,monetɛʁ
1042,monxes,mwan
1043,monopoljo,monopɔl
1044,monstɾwo,mɔ̃stʁ
1045,moɾaliðað,moʁalite
1046,moɾalmente,moʁaləmɑ̃
1047,moɾtalmente,mɔʁtɛləmɑ̃
1048,moɾteɾo,mɔʁtje
1049,motoɾ,motœʁ
1050,motoɾes,motœʁ
1051,motoɾisasion,motoʁizasjɔ̃
1052,mobimjento,muvəmɑ̃
1053,mwebles,mœbl
1054,mweɾen,mœʁ
1055,mweɾtos,mɔʁ
1056,multiplika,myltipli
1057,multiplikasion,myltiplikasjɔ̃
1058,multiplikan,myltipli
1059,multiplisiðað,myltiplicite
1060,mundos,mɔ̃d
1061,museo,myze
1062,museos,myze
1063,musulman,myzylmɑ̃
1064,mutwas,mytɥɛl
1065,maɾxenes,maʁʒ
1066,maɾtiɾ,maʁtiʁ
1067,masteɾ,mastœʁ
1068,meɾitos,meʁit
1069,minimas,minimal
1070,moðulos,modyl
1071,mobiles,mobil
1072,nasiente,nɛsɑ̃t
1073,nasional,nasjonal
1074,nasionales,nasjonal
1075,nasionaliðaðes,nasjonalite
1076,nasionalismo,nasjonalism
1077,nasionalista,nasjonalist
1078,nasionalistas,nasjonalist
1079,nasionalisasion,nasjonalizasjɔ̃
1080,narasion,naʁasjɔ̃
1081,naraðoɾ,naʁatœʁ
1082,natuɾalista,natyʁalist
1083,nabeɣable,naviɡabl
1084,nabeɣasion,naviɡasjɔ̃
1085,nabeɣante,naviɡatœʁ
1086,nasismo,nazism
1087,nesesaɾjas,nesɛsɛʁ
1088,neeɾlandes,neɛʁlɑ̃dɛ
1089,neɣatibo,neɡatif
1090,neɣatibos,neɡatif
1091,neɣlixensia,neɡliʒɑ̃s
1092,nixeɾjano,niʒeʁjɑ̃
1093,nitɾato,nitʁat
1094,nitɾatos,nitʁat
1095,nibel,nivo
1096,nosion,nosjɔ̃
1097,noktuɾna,nɔktyʁn
1098,nomenklatuɾa,nomɑ̃klatyʁ
1099,noɾeste,nɔʁ-ɛst
1100,noɾmalisasion,nɔʁmalizasjɔ̃
1101,noɾoeste,nɔʁ-wɛst
1102,noɾte-suɾ,nɔʁ-syd
1103,nostalxia,nɔstalʒi
1104,notaɾjo,notɛʁ
1105,notaɾjos,notɛʁ
1106,nukleaɾes,nykleɛʁ
1107,numeɾaðos,nymeʁote
1108,nutɾision,nytʁisjɔ̃
1109,nektaɾ,nɛktaʁ
1110,nomaðas,nomad
1111,oblikwo,oblik
1112,obliɣasiones,obliɡasjɔ̃
1113,obliɣatoɾja,obliɡatwaʁ
1114,obsoleta,ɔbsolɛt
1115,obteniðos,ɔbtəny
1116,oksiðentales,ɔksidɑ̃to
1117,okulaɾ,okylɛʁ
1118,okupantes,okypɑ̃
1119,ofisialmente,ofisjɛləmɑ̃
1120,ofisios,ofis
1121,opeɾasiones,opeʁasjɔ̃
1122,oɾɣanisaðas,ɔʁɡanize
1123,oɾɣanisaðo,ɔʁɡanize
1124,oɾɣanisaðoɾ,ɔʁɡanizatœʁ
1125,oɾɣanisaðos,ɔʁɡanize
1126,oɾjental,oʁjɑ̃tal
1127,oɾtoðoksa,ɔʁtodɔks
1128,oɾtoðoksas,ɔʁtodɔks
1129,oɾixenes,oʁiʒin
1130,pasiensia,pasjɑ̃s
1131,pasientes,pasjɑ̃
1132,pakto,pakt
1133,pakistani,pakistanɛ
1134,palasios,palɛ
1135,palma,palm
1136,panes,pɛ̃
1137,pakete,pakɛ
1138,paketes,pakɛ
1139,paɾaðiɣma,paʁadiɡm
1140,paɾaðoxikamente,paʁadɔksaləmɑ̃
1141,paɾalelas,paʁalɛl
1142,paɾalelo,paʁalɛl
1143,paɾsialmente,paʁsjɛləmɑ̃
1144,paɾes,pɛʁ
1145,paɾjente,paʁɑ̃
1146,paɾisina,paʁizjɛn
1147,paɾlamentaɾjos,paʁləmɑ̃tɛʁ
1148,paɾlamento,paʁləmɑ̃
1149,paɾtisipasion,paʁticipasjɔ̃
1150,paɾtisipantes,paʁticipɑ̃
1151,paɾtisipaɾ,paʁticipe
1152,paɾtision,paʁtisjɔ̃
1153,paɾtikulaɾ,paʁtikylje
1154,paɾtiðos,paʁti
1155,paɾalisis,paʁalisi
1156,paɾametɾo,paʁamɛtʁ
1157,paɾasitos,paʁazit
1158,pasaxeɾos,pasaʒɛʁ
1159,pasiba,pasiv
1160,pasibo,pasif
1161,pateɾniðað,patɛʁnite
1162,patɾja,patʁi
1163,patɾjota,patʁijɔt
1164,patɾjotas,patʁijɔt
1165,patɾjotismo,patʁijotism
1166,patɾonal,patʁona
1167,patɾuʝa,patʁuj
1168,pausa,poz
1169,peatones,pjetɔ̃
1170,peðaɣoxia,pedaɡoʒi
1171,penal,penal
1172,penas,pɛn
1173,pensaban,pɑ̃sɛ
1174,peoɾes,piʁ
1175,peɾsepsion,pɛʁsɛpsjɔ̃
1176,peɾðeɾ,pɛʁdʁ
1177,peɾeɣɾinos,pɛləʁɛ̃
1178,peɾfil,pʁofil
1179,peɾfume,paʁfɛ̃
1180,peɾmanentes,pɛʁmanɑ̃
1181,peɾmite,pɛʁmɛ
1182,peɾmitiɾ,pɛʁmɛtʁ
1183,peɾmitiɾa,pɛʁmɛtʁa
1184,peɾmitiɾan,pɛʁmɛtʁɔ̃
1185,peɾmitja,pɛʁmɛtɛ
1186,peɾsekusiones,pɛʁsekysjɔ̃
1187,peɾsonaxe,pɛʁsonaʒ
1188,peɾsonaxes,pɛʁsonaʒ
1189,peɾsonal,pɛʁsonɛl
1190,peɾsonales,pɛʁsonɛl
1191,peɾsonaliðað,pɛʁsonalite
1192,peɾsonalmente,pɛʁsonɛləmɑ̃
1193,peɾspektiba,pɛʁspɛktiv
1194,peɾswaðiɾ,pɛʁsɥade
1195,peɾtuɾbasion,pɛʁtyʁbasjɔ̃
1196,pestisiðas,pɛsticid
1197,petɾoleo,petʁɔl
1198,pjanista,pjanist
1199,pjeðɾa,pjɛʁ
1200,pilaɾ,pilje
1201,pilaɾes,pilje
1202,pilas,pil
1203,pilotos,pilɔt
1204,pintoɾ,pɛ̃tʁ
1205,piɾateɾja,piʁatəʁi
1206,piɾamiðe,piʁamid
1207,piɾamiðes,piʁamid
1208,pissina,pisin
1209,pistas,pist
1210,planeta,planɛt
1211,planifikasion,planifikasjɔ̃
1212,plantasiones,plɑ̃tasjɔ̃
1213,plantasion,plɑ̃tasjɔ̃
1214,plantaðo,plɑ̃te
1215,plantaðos,plɑ̃te
1216,platafoɾma,plat-fɔʁm
1217,plutonjo,plytonjɔm
1218,poetas,poɛt
1219,polakos,polonɛ
1220,polaɾ,polɛʁ
1221,polen,polɛn
1222,polisial,polisjɛʁ
1223,populaɾisaðo,popylaʁize
1224,poɾtaabjones,pɔʁt-avjɔ̃
1225,poɾtuɣesa,pɔʁtyɡɛz
1226,poɾtuɣesas,pɔʁtyɡɛz
1227,poɾtuɣeses,pɔʁtyɡɛ
1228,poɾtatiles,pɔʁtabl
1229,posibiliðað,posibilite
1230,posibiliðaðes,posibilite
1231,posible,posibl
1232,posisiones,pozisjɔ̃
1233,positibas,pozitiv
1234,positibo,pozitif
1235,postales,pɔsto
1236,potasjo,potasjɔm
1237,potensial,potɑ̃sjɛl
1238,pɾaktikaɾ,pʁatike
1239,pɾekausiones,pʁekosjɔ̃
1240,pɾekausion,pʁekosjɔ̃
1241,pɾesisamente,pʁesizemɑ̃
1242,pɾesisas,pʁesiz
1243,pɾekuɾsoɾ,pʁekyʁsœʁ
1244,pɾekuɾsoɾes,pʁekyʁsœʁ
1245,pɾeðikaðoɾ,pʁedikatœʁ
1246,pɾefeɾensia,pʁefeʁɑ̃s
1247,pɾefeɾible,pʁefeʁabl
1248,pɾefjeɾen,pʁefɛʁ
1249,pɾeluðjo,pʁelyd
1250,pɾematuɾa,pʁematyʁe
1251,pɾepaɾa,pʁepaʁ
1252,pɾepaɾasion,pʁepaʁasjɔ̃
1253,pɾepaɾatoɾjas,pʁepaʁatwaʁ
1254,pɾesensia,pʁezɑ̃s
1255,pɾesentasiones,pʁezɑ̃tasjɔ̃
1256,pɾeseɾbaɾ,pʁezɛʁve
1257,pɾesiðensiales,pʁezidɑ̃sjɛl
1258,pɾesiðenta,pʁezidɑ̃t
1259,pɾestixiosa,pʁɛstiʒjœz
1260,pɾestixioso,pʁɛstiʒjœ
1261,pɾetensjones,pʁetɑ̃sjɔ̃
1262,pɾeteksto,pʁetɛkst
1263,pɾebentiba,pʁevɑ̃tiv
1264,pɾeambulo,pʁeɑ̃byl
1265,pɾimaɾjas,pʁimɛʁ
1266,pɾimaɾjo,pʁimɛʁ
1267,pɾimeɾos,pʁəmje
1268,pɾimitibas,pʁimitiv
1269,pɾinsesas,pʁɛ̃sɛs
1270,pɾinsipjos,pʁɛ̃sip
1271,pɾjoɾiðað,pʁijoʁite
1272,pɾjoɾiðaðes,pʁijoʁite
1273,pɾisjoneɾo,pʁizonje
1274,pɾisjon,pʁizɔ̃
1275,pɾibaðo,pʁive
1276,pɾibatisasion,pʁivatizasjɔ̃
1277,pɾibilexiaðo,pʁivileʒje
1278,pɾibilexiaðos,pʁivileʒje
1279,pɾibilexio,pʁivilɛʒ
1280,pɾoblema,pʁoblɛm
1281,pɾosesjon,pʁcsɛsjɔ̃
1282,pɾoklamasion,pʁoklamasjɔ̃
1283,pɾoðuksiones,prodyksjɔ̃
1284,pɾoðuktibo,prodyktif
1285,pɾoðukto,prodɥi
1286,pɾoðuktoɾ,prodyktœʁ
1287,pɾoðuktos,prodɥi
1288,pɾofesjonal,profɛsjonɛl
1289,pɾofesjonaliðað,profɛsjonalism
1290,pɾofesjones,profɛsjɔ̃
1291,pɾofesjon,profɛsjɔ̃
1292,pɾofundamente,profɔ̃demɑ̃
1293,pɾoɣɾama,proɡʁɑm
1294,pɾoɣɾamaða,proɡʁɑme
1295,pɾoɣɾamas,proɡʁɑm
1296,pɾoɣɾesista,proɡʁɛsist
1297,pɾoɣɾesiba,proɡʁɛsiv
1298,pɾoɣɾesibamente,proɡʁɛsivəmɑ̃
1299,pɾoɣɾesibo,proɡʁɛsif
1300,pɾolifeɾasion,prolifeʁasjɔ̃
1301,pɾolonɣaɾ,prolɔ̃ʒe
1302,pɾometeðoɾes,promɛtœʁ
1303,pɾomosiones,pʁomosjɔ̃
1304,pɾomosion,pʁomosjɔ̃
1305,pɾopaɣasion,propaɡasjɔ̃
1306,pɾopjetaɾjo,pʁopʁijetɛʁ
1307,pɾopjetaɾjos,pʁopʁijetɛʁ
1308,pɾopone,propoz
1309,pɾoponeɾ,propoze
1310,pɾopoɾsional,propɔʁsjonɛl
1311,pɾopoɾsiones,propɔʁsjɔ̃
1312,pɾospeksion,pʁɔspɛksjɔ̃
1313,pɾostituta,pʁɔstitɥe
1314,pɾoteksion,protɛksjɔ̃
1315,pɾotektoɾaðo,protɛktoʁa
1316,pɾotexe,protɛʒ
1317,pɾotexeɾ,proteʒe
1318,pɾotexiðos,proteʒe
1319,pɾotestaɾ,protɛste
1320,pɾotokolo,pʁotokɔl
1321,pɾotokolos,pʁotokɔl
1322,pɾototipo,pʁototip
1323,pɾototipos,pʁototip
1324,pɾobinsias,provɛ̃s
1325,pɾobisjonales,provizwaʁ
1326,pɾobisjonalmente,provizwaʁəmɑ̃
1327,pɾoksimiðað,pʁɔksimite
1328,pɾoieksion,proʒɛksjɔ̃
1329,pɾoiekto,proʒɛ
1330,pɾoiektos,proʒɛ
1331,psikoteɾapja,psikoteʁapi
1332,publikasion,pyblikasjɔ̃
1333,publikaðo,pyblije
1334,publikando,pyblijɑ̃
1335,publikaɾ,pyblije
1336,publisitaɾjo,pyblisitɛʁ
1337,pweɾtos,pɔʁ
1338,pulmonaɾ,pylmonɛʁ
1339,puɾamente,pyʁəmɑ̃
1340,puɾas,pyʁ
1341,puɾesa,pyʁəte
1342,puɾɣas,pyʁʒ
1343,puɾifikasion,pyʁifikasjɔ̃
1344,publikamente,pyblikəmɑ̃
1345,publiko,pyblik
1346,publikos,pyblik
1347,kiʝa,kij
1348,kinse,kɛ̃z
1349,ɾabinos,ʁabɛ̃
1350,ɾasial,ʁasjal
1351,ɾasista,ʁasist
1352,ɾasistas,ʁasist
1353,ɾaðjaktibiðað,ʁadjoaktivite
1354,ɾaðjaktibos,ʁadjoaktif
1355,ɾaðikales,ʁadiko
1356,ɾaðjoðifusjon,ʁadjodifyzjɔ̃
1357,ɾaɾas,ʁaʁ
1358,ɾatifikasion,ʁatifikasjɔ̃
1359,ɾatifikaðo,ʁatifje
1360,ɾasones,ʁɛzɔ̃
1361,ɾaises,ʁasin
1362,ɾeaktibos,ʁeaktif
1363,ɾeaktoɾ,ʁeaktœʁ
1364,ɾeaktoɾes,ʁeaktœʁ
1365,ɾealista,ʁealist
1366,ɾebeldes,ʁəbɛl
1367,ɾesiklaðo,ʁəsiklaʒ
1368,ɾesiente,ʁesɑ̃t
1369,ɾeklutamjento,ʁəkʁytəmɑ̃
1370,ɾeklutas,ʁəkʁy
1371,ɾekomendasiones,ʁəkomɑ̃dasjɔ̃
1372,ɾekomendaðo,ʁəkomɑ̃de
1373,ɾekompensaðo,ʁekɔ̃pɑ̃se
1374,ɾekonstɾwiɾ,ʁəkɔ̃stʁɥiʁ
1375,ɾekonbeɾsjon,ʁəkɔ̃vɛʁsjɔ̃
1376,ɾekonbeɾtiðo,ʁəkɔ̃vɛʁti
1377,ɾekurentes,ʁekyʁɑ̃
1378,ɾeðaktoɾ,ʁedaktœʁ
1379,ɾeðonda,ʁɔ̃d
1380,ɾeðondas,ʁɔ̃d
1381,ɾeestɾuktuɾasion,ʁəstʁyktyʁasjɔ̃
1382,ɾefeɾensias,ʁefeʁɑ̃s
1383,ɾeflexa,ʁəflɛt
1384,ɾeflexan,ʁəflɛt
1385,ɾefleksjon,ʁeflɛksjɔ̃
1386,ɾefoɾsando,ʁɑ̃fɔʁsɑ̃
1387,ɾefuxia,ʁefyʒi
1388,ɾefutasion,ʁefytasjɔ̃
1389,ɾexente,ʁeʒɑ̃t
1390,ɾeximjentos,ʁeʒimɑ̃
1391,ɾexional,ʁeʒjonal
1392,ɾexionales,ʁeʒjonal
1393,ɾexiones,ʁeʒjɔ̃
1394,ɾexistɾos,ʁəʒistʁ
1395,ɾexion,ʁeʒjɔ̃
1396,ɾeɣlamentaɾjas,ʁeɡləmɑ̃tɛʁ
1397,ɾeɣlamentaɾjo,ʁeɡləmɑ̃tɛʁ
1398,ɾeɣlamento,ʁɛɡləmɑ̃
1399,ɾeɣlamentos,ʁɛɡləmɑ̃
1400,ɾeɣɾesjon,ʁeɡʁɛsjɔ̃
1401,ɾeabilitaðo,ʁeabilite
1402,ɾeibindikasiones,ʁəvɑ̃dikasjɔ̃
1403,ɾelasiones,ʁəlasjɔ̃
1404,ɾelatibamente,ʁəlativəmɑ̃
1405,ɾelixiosas,ʁəliʒjœz
1406,ɾelixioso,ʁəliʒjœ
1407,ɾemolkes,ʁəmɔʁk
1408,ɾemonta,ʁəmɔ̃t
1409,ɾemuneɾasion,ʁemyneʁasjɔ̃
1410,ɾenobables,ʁənuvəlabl
1411,ɾenobaɾ,ʁənuvəle
1412,ɾenunsiaɾ,ʁənɔ̃se
1413,ɾeoɾɣanisaɾ,ʁeɔʁɡanize
1414,ɾepaɾasiones,ʁepaʁasjɔ̃
1415,ɾepaɾaɾ,ʁepaʁe
1416,ɾepaɾto,ʁepaʁtisjɔ̃
1417,ɾepeɾtoɾjo,ʁepɛʁtwaʁ
1418,ɾepeɾtoɾjos,ʁepɛʁtwaʁ
1419,ɾepɾesentaban,ʁəpʁezɑ̃tɛ
1420,ɾepɾesentasion,ʁəpʁezɑ̃tasjɔ̃
1421,ɾepɾesentaðas,ʁəpʁezɑ̃te
1422,ɾepɾesentante,ʁəpʁezɑ̃tɑ̃
1423,ɾepɾesentatibos,ʁəpʁezɑ̃tatif
1424,ɾepɾesjon,ʁepʁɛsjɔ̃
1425,ɾepɾimiɾ,ʁepʁime
1426,ɾepublikanos,ʁepyblikɛ̃
1427,ɾeputasion,ʁepytasjɔ̃
1428,ɾesentimjento,ʁəsɑ̃timɑ̃
1429,ɾeseɾbas,ʁezɛʁv
1430,ɾesiðentes,ʁezidɑ̃
1431,ɾesiðiɾ,ʁezide
1432,ɾesistensia,ʁezistɑ̃s
1433,ɾesolusion,ʁezolysjɔ̃
1434,ɾespetwoso,ʁɛspɛktɥœ
1435,ɾespiɾaɾ,ʁɛspiʁe
1436,ɾesponde,ʁepɔ̃
1437,ɾespondeɾ,ʁepɔ̃dʁ
1438,ɾesponsabiliðað,ʁɛspɔ̃sabilite
1439,ɾestɾiksiones,ʁɛstʁiksjɔ̃
1440,ɾesultaðo,ʁezylta
1441,ɾetiɾaða,ʁətʁɛ
1442,ɾetiɾaɾ,ʁətiʁe
1443,ɾetɾasos,ʁətaʁ
1444,ɾeunifikasion,ʁeynifikasjɔ̃
